Tiempo empleado para Fibonacci de Manera Recursiva

('n=', 26, 'fib(', 26, ')=', 121393, 'time', 0.0022169592248815206, 'seconds process time')
('n=', 27, 'fib(', 27, ')=', 196418, 'time', 0.0023170303010005, 'seconds process time')
('n=', 28, 'fib(', 28, ')=', 317811, 'time', 0.002412824835417382, 'seconds process time')
('n=', 29, 'fib(', 29, ')=', 514229, 'time', 0.002509047023991684, 'seconds process time')
('n=', 30, 'fib(', 30, ')=', 832040, 'time', 0.002605269212580197, 'seconds process time')
('n=', 31, 'fib(', 31, ')=', 1346269, 'time', 0.0027100444845871152, 'seconds process time')
('n=', 32, 'fib(', 32, ')=', 2178309, 'time', 0.0028109708690493562, 'seconds process time')
('n=', 33, 'fib(', 33, ')=', 3524578, 'time', 0.0029080483659811307, 'seconds process time')
('n=', 34, 'fib(', 34, ')=', 5702887, 'time', 0.0030042705545554327, 'seconds process time')
('n=', 35, 'fib(', 35, ')=', 9227465, 'time', 0.0031004927431297347, 'seconds process time')
('n=', 36, 'fib(', 36, ')=', 14930352, 'time', 0.003200563819262925, 'seconds process time')
('n=', 37, 'fib(', 37, ')=', 24157817, 'time', 0.003301062549553535, 'seconds process time')
('n=', 38, 'fib(', 38, ')=', 39088169, 'time', 0.0033989953548143603, 'seconds process time')
('n=', 39, 'fib(', 39, ')=', 63245986, 'time', 0.0034990664309475505, 'seconds process time')

Fibo recursivo = Azul e Iterado = Naranja
