Produco de Matrices cuadradas de 1's y 2's en Java pero compilado en Ideone:

link | https://ideone.com/Vu4aNj |

Éxito	#stdin #stdout 0.36s 49388KB
Ingrese el numero n de los arreglos de 1s y 2s de tamano nxn
Promedio de produco de matrices 72x72 con 1s y 72x72 con 2s es: 3.5362172067901238E-9
Promedio de produco de matrices 73x73 con 1s y 73x73 con 2s es: 3.548451610083878E-9
Promedio de produco de matrices 74x74 con 1s y 74x74 con 2s es: 3.515170621680848E-9
Promedio de produco de matrices 75x75 con 1s y 75x75 con 2s es: 3.430908444444445E-9
Promedio de produco de matrices 76x76 con 1s y 76x76 con 2s es: 3.4462157384458382E-9
Promedio de produco de matrices 77x77 con 1s y 77x77 con 2s es: 3.4039116558934412E-9
Promedio de produco de matrices 78x78 con 1s y 78x78 con 2s es: 3.36406758374214E-9
Promedio de produco de matrices 79x79 con 1s y 79x79 con 2s es: 3.3294353996337002E-9
Promedio de produco de matrices 80x80 con 1s y 80x80 con 2s es: 3.3353417968750005E-9
Promedio de produco de matrices 81x81 con 1s y 81x81 con 2s es: 3.3015471143551214E-9
Promedio de produco de matrices 82x82 con 1s y 82x82 con 2s es: 3.228887965932009E-9
Promedio de produco de matrices 83x83 con 1s y 83x83 con 2s es: 3.2306339598486854E-9
Promedio de produco de matrices 84x84 con 1s y 84x84 con 2s es: 3.231490760986935E-9
Promedio de produco de matrices 85x85 con 1s y 85x85 con 2s es: 3.208433950742927E-9
Promedio de produco de matrices 86x86 con 1s y 86x86 con 2s es: 3.4289983900788614E-9
Promedio de produco de matrices 87x87 con 1s y 87x87 con 2s es: 3.3089947957716215E-9
Promedio de produco de matrices 88x88 con 1s y 88x88 con 2s es: 3.3374144498966948E-9
Promedio de produco de matrices 89x89 con 1s y 89x89 con 2s es: 3.319054454876739E-9
Promedio de produco de matrices 90x90 con 1s y 90x90 con 2s es: 3.324882716049383E-9
Promedio de produco de matrices 91x91 con 1s y 91x91 con 2s es: 3.2800174104364423E-9
Promedio de produco de matrices 92x92 con 1s y 92x92 con 2s es: 3.2942853877291036E-9
Promedio de produco de matrices 93x93 con 1s y 93x93 con 2s es: 3.245521578105244E-9
Promedio de produco de matrices 94x94 con 1s y 94x94 con 2s es: 3.202709178120455E-9
Promedio de produco de matrices 95x95 con 1s y 95x95 con 2s es: 3.245555328765126E-9
Promedio de produco de matrices 96x96 con 1s y 96x96 con 2s es: 3.2158525254991317E-9
Promedio de produco de matrices 97x97 con 1s y 97x97 con 2s es: 3.202767037043936E-9
Promedio de produco de matrices 98x98 con 1s y 98x98 con 2s es: 3.1976127081403164E-9
Promedio de produco de matrices 99x99 con 1s y 99x99 con 2s es: 3.2142602434919552E-9
